18x18
3x6
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
16 17 13 14 15 18 1 2 3 4 5 6 7 8 9 10 11 12
7 8 9 10 11 12 14 16 13 18 15 17 1 2 3 4 5 6
3 1 4 5 7 2 11 12 8 13 9 14 18 15 16 6 10 17
18 14 6 15 16 17 3 1 4 5 10 2 11 12 8 7 9 13
11 9 8 12 13 10 16 17 18 6 7 15 3 1 4 5 14 2
2 5 1 6 3 7 15 14 16 17 18 9 4 10 12 13 8 11
15 13 11 18 4 8 2 10 1 12 3 7 5 6 17 9 16 14
10 16 14 17 12 9 4 5 6 11 8 13 2 18 1 15 3 7
5 10 2 1 6 3 18 9 17 8 14 4 16 7 11 12 13 15
13 11 12 16 17 15 5 7 2 1 6 3 14 9 10 8 18 4
14 7 18 8 9 4 13 15 10 16 12 11 17 5 2 1 6 3
9 3 16 2 1 5 17 18 12 7 13 8 6 4 14 11 15 10
4 6 15 11 10 13 9 3 14 2 1 5 12 16 18 17 7 8
12 18 17 7 8 14 6 4 11 15 16 10 9 3 13 2 1 5
8 15 5 3 2 1 12 13 7 14 17 16 10 11 6 18 4 9
17 4 10 9 18 11 8 6 5 3 2 1 15 13 7 14 12 16
6 12 7 13 14 16 10 11 15 9 4 18 8 17 5 3 2 1
